Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
1786 Golden Gate Ave,San Francisco,94115,7/20/2010,1275000,Multi-Family,7.85,4150,1.176303855,C,Other,Unknown,1900,6,-122.4400033,37.7787409
295 Monterey Blvd,San Francisco,94131,3/2/2011,1250000,Multi-Family,5.15,4725,1.893787575,C,Other,WoodFrame,1961,6,-122.441877,37.7312975
900 Potrero Ave,San Francisco,94110,7/16/2010,1250000,Multi-Family,6.35,5502,1.579219288,C,Other,WoodFrame,1975,8,-122.4070211,37.7575891
2267 Clinton Ave,Alameda,94501,6/29/2010,1245000,Multi-Family,6.22,4588,0.752377829,C,Other,WoodFrame,1900,8,-122.2472893,37.7607908
289 Woodland Ave,San Rafael,94901,6/16/2010,1240000,Multi-Family,5.8,4600,0.308869939,C,Other,Unknown,1942,6,-122.5270957,37.9659151
3232 Taraval St,San Francisco,94116,2/8/2011,1220000,Multi-Family,4.5,6732,1.343980834,C,Other,Unknown,1948,8,-122.501011,37.742132
853 W Grand Ave,Oakland,94607,11/24/2010,1200000,Multi-Family,5.41,8014,1.995517928,B,Other,Masonry,2008,6,-122.2773863,37.8137721
3351 Norton Way,Pleasanton,94566,6/11/2010,1200000,Multi-Family,5.79,7200,0.473621892,C,Other,Unknown,1972,8,-121.854143,37.662435
138 Hyde St,San Francisco,94102,10/14/2010,1200000,Multi-Family,5.01,10311,2.144104803,C,Other,ReinforcedConcrete,1915,23,-122.415374,37.782186
516-520 Anza St,San Francisco,94118,2/28/2011,1170000,Multi-Family,6.25,4800,2,C,Other,WoodFrame,1916,6,-122.4521168,37.7805956
550 1st Ave,San Mateo,94401,9/30/2010,1160000,Multi-Family,5,4311,0.783675695,C,Other,Unknown,1955,7,-122.3218188,37.568364
1645 Mercy St,Mountain View,94041,12/17/2010,1150000,Multi-Family,6.04,3550,0.413511939,C,Other,Unknown,1953,5,-122.0912428,37.3937088
157 Albion St,San Francisco,94110,10/29/2010,1150000,Multi-Family,6.2,8512,1.972196478,C,Other,WoodFrame,1908,7,-122.4225539,37.7639174
1918 Cooley Ave,East Palo Alto,94303,1/13/2011,1150000,Multi-Family,6.97,9993,0.424836323,C,Other,WoodFrame,1945,11,-122.1388025,37.4559649
164 Michael Dr,Campbell,95008,10/13/2010,1135000,Multi-Family,5.62,5475,0.465521639,C,Other,Unknown,1977,6,-121.9339046,37.2844645
36-38 N Claremont St,San Mateo,94401,11/22/2010,1125000,Multi-Family,7.26,7100,0.4978613,C,Other,WoodFrame,1897,7,-122.324068,37.569869
401 Heller St,Redwood City,94063,3/18/2011,1118000,Multi-Family,7.2,10152,0.685482782,C,Other,Unknown,1964,8,-122.2242755,37.4825553
99 Avenue Portola,Half Moon Bay,94019,1/13/2011,1115000,Multi-Family,5.62,5290,0.694772787,C,Other,WoodFrame,2002,5,-122.4699964,37.502967
654 Kirkland Dr,Sunnyvale,94087,1/5/2011,1108000,Multi-Family,4.73,4536,0.495900295,C,Other,WoodFrame,1960,6,-122.0381208,37.3404598
185 Dolores St,San Francisco,94103,12/10/2010,1100000,Multi-Family,5.5,4099,1.651490733,C,Other,WoodFrame,1914,5,-122.4262315,37.7665702
491 Mandana Blvd,Oakland,94610,9/16/2010,1090000,Multi-Family,6.61,4311,0.970290344,C,Other,Masonry,1915,7,-122.245018,37.813164
2769 Agate Dr,Santa Clara,95051,3/25/2011,1090000,Multi-Family,2.95,6194,0.337125129,C,Other,Unknown,1964,10,-121.977381,37.3701424
51 Prosper St,San Francisco,94114,1/14/2011,1080000,Multi-Family,5.8,2704,1.352676338,B,Other,WoodFrame,1906,5,-122.4315295,37.7635134
3 Bayview St,San Rafael,94901,6/16/2010,1040000,Multi-Family,5.16,3500,0.279485746,C,Other,WoodFrame,1889,6,-122.5304475,37.9668954
