Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
293 Euclid Ave,Oakland,Alameda,7/25/2013,1625000,5.02,9,8,0,1,8714,1950,94610
1201 Blossom Hill Rd,San Jose,Santa Clara,9/28/2015,1550000,5.02,7,6,0,0,9060,1971,95118
Pine Cone Apartments,Concord,Contra Costa,8/12/2014,4250000,5.01,28,14,14,0,22000,1968,94520
1146 Mckinley Ave,Oakland,Alameda,5/11/2016,3255000,5.01,18,6,0,0,10495,1928,94610
641-699 Santa Ana Dr,Santa Rosa,Sonoma,3/14/2014,1215000,5.01,8,0,7,1,6900,1960,95404
3980 Ellmar Oaks Dr,San Jose,Santa Clara,11/3/2015,160000000,5,432,175,216,41,393357,1988,95136
3228-3230 Adeline St,Berkeley,Alameda,8/15/2016,1630000,5,6,0,4,0,7859,1904,94703
140 Lower Via Casitas,Greenbrae,Marin,10/24/2012,4800000,5,20,20,0,0,20000,,94904
4225 Sonoma Hwy,Santa Rosa,Sonoma,12/1/2016,3650000,5,20,0,20,0,17800,1986,95409
537 Pacific Ave,Alameda,Alameda,9/6/2013,914000,4.99,6,5,1,0,4522,1959,94501
27331 Manon Avenue,Hayward,Alameda,8/30/2013,3050000,4.99,20,0,20,0,15120,1961,94544
1515 Harmon St,Berkeley,Alameda,9/8/2015,1275000,4.98,7,6,1,0,5057,1959,94703
490 Washington Blvd,Fremont,Alameda,12/12/2013,1070000,4.98,7,0,7,0,8321,1974,94539
466 S 5th St,San Jose,Santa Clara,6/30/2015,8850000,4.98,35,9,22,1,21811,1899,95112
1116 Capuchino Ave,Burlingame,San Mateo,7/11/2012,1650000,4.96,5,0,5,0,5228,1972,94010
330 Hamilton St,San Francisco,San Francisco,6/1/2012,849000,4.96,4,0,3,0,3175,1963,94134
3713 Mt Diablo Blvd,Lafayette,Contra Costa,12/18/2014,7054460,4.96,46,41,4,0,29025,1958,94549
1555 Washington St,,Santa Clara,11/25/2015,1120000,4.96,5,5,0,0,2090,1953,
8036 Greenridge Dr,Oakland,Alameda,12/20/2013,1100000,4.95,6,0,5,0,6102,1968,94605
1157 Willow Rd,Menlo Park,San Mateo,7/20/2012,1990000,4.94,6,10,2,0,5190,1958,94025
265 Vernon St,Oakland,Alameda,11/1/2014,8070000,4.94,44,42,2,1,27629,1960,94610
1105-1157 W Olive Ave,Sunnyvale,Santa Clara,4/14/2016,22000000,4.94,64,64,0,0,38010,1964,94086
1195 Brace Ave,San Jose,Santa Clara,12/7/2012,3150000,4.94,14,4,10,0,15800,1966,95125
132 N 5th St,San Jose,Santa Clara,7/31/2015,3600000,4.94,16,0,16,0,10080,1966,95112
593 Saratoga Ave,Santa Clara,Santa Clara,4/15/2014,1800000,4.94,8,8,0,0,3524,1950,95050
554 Lucerne Ave,Redwood City,San Mateo,6/5/2015,1660000,4.93,5,3,2,0,6794,1958,94061
1706 Steiner St,San Francisco,San Francisco,2/23/2015,2350000,4.93,6,3,2,1,5860,1922,94115
3071 Curran Ave,Oakland,Alameda,6/21/2016,920000,4.93,5,0,5,0,4200,1964,94602
