"Property: ID","Property: Property Name","City","Zip Code","Prop Sale GRM","Square Footage","Last Price"
"a0F1a000000pGW9","2199 Grant St","Berkeley","94703","13.54","2960","850000.00"
"a0F1a000000p9D1","395-397 Coombs St","Napa","94559","13.23","3120","1100000.00"
"a0F1a000000pEpP","477 Joaquin Ave","San Leandro","94577","8.67","4119","634500.00"
"a0F1a000000pEpQ","1320 144th Ave","San Leandro","94578","9.27","4811","715000.00"
"a0F1a000000pEpR","1767 Clarke St","San Leandro","94577","15.00","7200","1375000.00"
"a0F1a000000pEq8","1530 165th Ave","San Leandro","94578","7.98","3600","335000.00"
"a0F1a000000pEqE","1650 159th Ave","San Leandro","94578","7.50","15300","1600000.00"
"a0F1a000000pFQD","1901 Shoreline Dr","Alameda","94501 -60","5.09","31088","7400000.00"
"a0F1a000000pHRS","1532 Tyler St","Berkeley","94703","10.54","12968","1937000.00"
"a0F1a000000pHRV","6446-6452 Colby St","Oakland","94618","10.91","4640","1200000.00"
"a0F1a000000pHRW","1607-1607 A Walnut St","Berkeley","94709","12.41","3658","1370000.00"
"a0F1a000000pEw4","Cherry Hills Apartments","Hayward","94544","10.17","22236","4090000.00"
"a0F1a000000pKry","1429 Spruce St","Berkeley","94709","12.13","2980","820000.00"
"a0F1a000000pGNf","1222 Delaware St","Berkeley","94702","9.65","7670","985000.00"
"a0F1a000000pGNk","2541 Regent St","Berkeley","94704","10.74","12819","2200000.00"
"a0F1a000000pG8D","1139 Hearst Ave","Berkeley","94702","6.42","21248","1300000.00"
"a0F1a000000pGNs","2325 Channing Way","Berkeley","94704","6.31","5728","473000.00"
"a0F1a000000pGNt","2813 Shattuck Ave","Berkeley","94705","8.16","5688","1060000.00"
"a0F1a000000pGNw","1529 Russell St","Berkeley","94703","9.00","17212","3105000.00"
"a0F1a000000pGRf","2451 Le Conte Ave","Berkeley","94709","5.61","12756","307000.00"
"a0F1a000000pGRh","1024 47th St","Emeryville","94608","6.94","8056","510000.00"
"a0F1a000000pGUN","1510 Bonita Ave","Berkeley","94709","10.72","4506","1225000.00"
"a0F1a000000pAWN","943-947 Geary St","San Francisco","94109","10.36","10208","2051000.00"
"a0F1a000000pEqK","14817 Bancroft Ave","San Leandro","94578","14.88","6250","525000.00"
"a0F1a000000pEsC","942 Karol Way","San Leandro","94577","12.75","3600","450000.00"
"a0F1a000000pFQN","2241 San Jose Ave","Alameda","94501 -66","10.26","2942","420000.00"
