Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
3000 Richmond Blvd,Multi-Family,6/23/2015,6000000,12.54,4.31,269.42,157895,22270,38,57,Good,C,Masonry,37.8179712,-122.2603267,38,0,0,3,94611,2 Star,0,0,,1960
1841 Laguna St,Multi-Family,9/27/2016,21000000,,4.75,247.24,250000,84939,84,48,Good,C,Masonry,37.971061,-122.035187,38,46,0,3,94520,2 Star,0,M1,1031 Exchange,1969
1841 Laguna St,Multi-Family,8/30/2013,8600000,,5.6,101.25,102381,84939,84,48,Good,C,Masonry,37.971061,-122.035187,38,46,0,3,94520,2 Star,0,M1,Deferred Maintenance,1969
3525 Dimond Ave,Multi-Family,5/15/2003,3360000,7.86,7.99,99.29,80000,33840,42,54,Good,C,Masonry,37.801355,-122.217248,38,4,0,4,94602,2 Star,0,R-50,1031 Exchange,1963
3525 Dimond Ave,Multi-Family,3/10/2000,2000000,5.5,12.06,59.1,47619,33840,42,54,Good,C,Masonry,37.801355,-122.217248,38,4,0,4,94602,2 Star,0,R-50,1031 Exchange,1963
564 Central Ave,Multi-Family,3/4/2009,9650000,10.2,5.7,160.5,148462,60123,65,50,Good,C,Wood Frame,37.770583,-122.2797187,37,27,1,3,94501,2 Star,0,R-5; Alameda,,1967
142 Fig Tree Ln,Multi-Family,1/29/2016,37550000,,4.5,281.94,223512,133184,168,32,Good,B,Wood Frame,37.992874,-122.095082,37,131,0,3,94553,3 Star,0,N/Av,,1985
600 Alhambra Way,Multi-Family,6/27/2013,3500000,9.6,6.1,168.17,92105,20812,38,59,Good,C,Wood Frame,37.9984123,-122.1310482,37,1,0,1,94553,2 Star,0,R1.5,,1958
1801 Gough St,Multi-Family,6/4/2004,9400000,17.7,3.65,237.01,235000,39660,40,90,Good,C,,37.7901356,-122.4259316,36,0,0,5,94109,2 Star,0,RM3,,1927
775 Geary St,Multi-Family,5/3/2007,7500000,,,244.62,208333,30660,36,94,Good,B,,37.7861292,-122.4159901,36,0,0,6,94109,3 Star,0,RC4,,1923
775 Geary St (Part of Portfolio),Multi-Family,2/25/2011,,,,,,30660,36,94,Good,B,,37.7861292,-122.4159901,36,0,0,6,94109,3 Star,0,RC4,Bulk/Portfolio Sale,1923
121 Moss Ave,Multi-Family,1/21/2000,3825000,8.75,6.67,114.01,76500,33550,50,31,Good,C,Wood Frame,37.820871,-122.253955,36,10,0,3,94611,3 Star,0,R70,1031 Exchange,1986
1130 E 3rd Ave,Multi-Family,8/1/2002,14750000,8.61,5.17,86.99,82402,169558,179,42,Good,B,Steel,37.7962049,-122.2564427,36,143,0,17,94606,4 Star,0,S-2,1031 Exchange,1975
434 E 17th St,Multi-Family,9/30/1999,1750000,6.01,9.37,43,41667,40701,42,55,Good,C,Masonry,37.798025,-122.251085,36,3,0,3,94606,2 Star,0,R60,,1962
2856 Fruitvale Ave,Multi-Family,4/30/2014,4575000,10.06,5.63,176.64,108929,25900,42,58,Good,C,Wood Frame,37.792792,-122.218649,36,6,0,3,94601,2 Star,0,N/Av,,1959
2856 Fruitvale Ave,Multi-Family,3/31/2006,3325000,8.18,6.74,128.38,79167,25900,42,58,Good,C,Wood Frame,37.792792,-122.218649,36,6,0,3,94601,2 Star,0,N/Av,1031 Exchange,1959
